Id	Type	ShowType	Title	Img	OpenStoryLineContentId	LockDesc	UnlockDesc	CompleteDesc	ScriptId	StoryId	Index
3200	1	1	Hell	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5CluePhoto02.png	313	This clue not collected	The prison to which the Supreme Heaven casts all fallen souls. It is a realm of demons, known along with the Sanctuary and the Mortal Realm as the "Three Realms."	The prison to which the Supreme Heaven casts all fallen souls. It is a realm of demons, known along with the Sanctuary and the Mortal Realm as the "Three Realms." After the collapse of the laws of life and death, the Demon Lords once loyal to the Death Lord turned on each other, plunging Hell into endless war and bloodshed. It is said that the fallen dead who still adhere to order are cast into "Purgatory," a rift at Hell's edge, to await rebirth.	3200	RG01009BA	200
3201	2	2	Souls Entering Hell	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5CluePhoto.png	313	This clue not collected	The people at the Scorched Borderland believe that upon death, souls are judged by their deeds: the virtuous ascend to Heaven, while the wicked are cast into Hell.	The people at the Scorched Borderland believe that upon death, souls are judged by their deeds: the virtuous ascend to Heaven, while the wicked are cast into Hell.			203
3202	2	2	The Collapse of Laws of Life and Death	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5CluePhoto.png	313	This clue not collected	After the Supreme Heaven sealed the Death Lord within the Hall of A Thousand Demons, the cycle of life and death fell into disarray. Souls could no longer ascend to heaven or descend to Hell after death. Instead, they become wandering, living dead trapped in the mortal world.	After the Supreme Heaven sealed the Death Lord within the Hall of A Thousand Demons, the cycle of life and death fell into disarray. Souls could no longer ascend to heaven or descend to Hell after death. Instead, they become wandering, living dead trapped in the mortal world.			202
3203	2	2	Demon Lord	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5CluePhoto.png	313	This clue not collected	It is said that only a rare few high-ranking demons have received the Death Lord's blessing, gaining immense power and the title of Demon Lord. They rule Hell in his stead and are never able to kill one another.	It is said that only a rare few high-ranking demons have received the Death Lord's blessing, gaining immense power and the title of Demon Lord. They rule Hell in his stead and are never able to kill one another.			201
3204	2	2	The Tribunal	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5CluePhoto.png	313	This clue not collected	A religious order formed by human zealots fanatically devoted to the Supreme Heaven, once dominant in the pre-cataclysmic age. They created an artifact, known as the "Crown of Judgment," which is capable of revealing whether one has committed a sin.	A religious order formed by human zealots fanatically devoted to the Supreme Heaven, once dominant in the pre-cataclysmic age. They created an artifact, known as the "Crown of Judgment," which is capable of revealing whether one has committed a sin.			204
3205	2	2	Purgatory Furnace	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5CluePhoto.png	313	This clue not collected	A treasure of Mammon, the Golden King. It is said that the Mammon Coins commonly used in the Scorched Borderland are minted in this very furnace.	A treasure of Mammon, the Golden King. It is said that the Mammon Coins commonly used in the Scorched Borderland are minted in this very furnace.			205
3206	2	2	Devil	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5CluePhoto.png	313	This clue not collected	Not every soul can be clearly judged as good or evil. Those who linger between are sent to Purgatory—the border between Hell and the mortal world—becoming the "lawful evil," known as Devils.	Not every soul can be clearly judged as good or evil. Those who linger between are sent to Purgatory—the border between Hell and the mortal world—becoming the "lawful evil," known as Devils.			206
3300	1	1	Witch Haida	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5CluePhoto02.png	320	This clue not collected	A witch who allied with the Sanctuary to ambush the Death Knight. She is also a Demon Lord.	A witch who allied with the Sanctuary to ambush the Death Knight. As a Demon Lord and an old acquaintance of the Death Knight, she seeks to stall for time within the Demon Fortress until the Omega Egg hatches for some unknown purpose.	3300		300
3301	2	2	The Ever-Shifting Demon Fortress	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5CluePhoto.png	320	This clue not collected	The Demon Fortress seems to have gained a will of its own. Its interior structures constantly change, forming a twisted, confounding labyrinth.	The Demon Fortress seems to have gained a will of its own. Its interior structures constantly change, forming a twisted, confounding labyrinth.			303
3302	2	2	Swelling Omega Egg	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5CluePhoto.png	320	This clue not collected	The Omega Egg implanted in the chest of the Chaos Gate Emissary is pulsing and growing over time.	The Omega Egg implanted in the chest of the Chaos Gate Emissary is pulsing and growing over time.			301
3303	2	2	Legend of the Scroll of the Valley of Ash	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5CluePhoto.png	320	This clue not collected	"When the egg hatches, it shall cleanse Hell of all corruption. The dead of past and future shall rise anew."	"When the egg hatches, it shall cleanse Hell of all corruption. The dead of past and future shall rise anew."			302
3304	2	2	Arcane Gates	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5CluePhoto.png	320	This clue not collected	These portals are created by the Chaos Gate Emissary and can connect to any location. The "Rift of Chaos"—that once linked the mortal world and Hell, sparking war between humans and demons—is also one of them.	These portals are created by the Chaos Gate Emissary and can connect to any location. The "Rift of Chaos"—that once linked the mortal world and Hell, sparking war between humans and demons—is also one of them.			306
3305	2	2	The Ferryman's Pen	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5CluePhoto.png	320	This clue not collected	A heavily worn fountain pen. Its cap is engraved with an elegant name: Lustrous.	A heavily worn fountain pen. Its cap is engraved with an elegant name: Lustrous.			304
3306	2	2	The Witch's Chessboard	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5CluePhoto.png	320	This clue not collected	A handmade chessboard with the creator's signature carved into the frame's corner: Hell's Greatest Demon!	A handmade chessboard with the creator's signature carved into the frame's corner: Hell's Greatest Demon!			305
4100	1	1	Wanshi	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5CluePhoto02.png	102	This clue not collected	A silver-haired youth who travels with you. Somehow you can't recall how you met.	Bound to you, the Pestilence Knight consumes the souls of the dead. Together you seek a way to find the truth and end the calamity.	4100	RG01101BA	100
4101	2	2	Beak Mask	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5CluePhoto.png	102	This clue not collected	Wanshi always carries this plague mask. Its beak is stuffed with herbs.	Wanshi always carries this plague mask. Its beak is stuffed with herbs.			101
4102	2	2	Eerie Ritual Altar	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5CluePhoto.png	102	This clue not collected	A hidden altar beneath the castle, built by tribal cultists.	A hidden altar beneath the castle, built by tribal cultists. It has been destroyed by Wanshi and Gray Raven.			104
4103	2	2	Tribal Runes	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5CluePhoto.png	102	This clue not collected	Strange runes left at the live sacrifice site, pronounced "Carcosa."	Strange runes left at the live sacrifice site, pronounced "Carcosa."			102
4104	2	2	Scattered Spent Shells	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5CluePhoto.png	102	This clue not collected	These spent shells at the altar came from Wanshi's sidearm. There was clearly a fight here.	These spent shells at the altar came from Wanshi's sidearm. There was clearly a fight here.			105
4105	2	2	Locust Corpse	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5CluePhoto.png	102	This clue not collected	Dried blood-locust remains are scattered all over ground zero of the calamity.	Dried blood-locust remains are scattered all over ground zero of the calamity.			103
4200	1	1	Tribespeople	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5CluePhoto02.png	404	This clue not collected	Natives of the Scorched Borderland who once fought settlers a thousand years ago, now hiding in the forest.	The tribespeople have not forgotten the blood debt of a millennium past. To this day, they still seek revenge against the borderlanders by conducting living sacrifice rituals across the Scorched Borderland.	4200	RG01102BA	200
4201	2	2	Wanshi's Investigation Notes	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5CluePhoto.png	404	This clue not collected	Wanshi's investigation notes, describing how the serial murder victims died of blood loss.	Wanshi's investigation notes, describing how the serial murder victims died of blood loss. The mummified bodies found in the forest died the same way, their throats cut and drained.			201
4202	2	2	Goat Carving	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5CluePhoto.png	404	This clue not collected	A crude wooden carving of a goat, found at a ritual altar and crafted by tribal followers.	A crude wooden carving of a goat, found at a ritual altar and crafted by tribal followers.			202
4203	2	2	Eerie Symbol	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5CluePhoto.png	404	This clue not collected	A tribal religious emblem recorded in the Great Library, twisted lines forming a pentagram.	A tribal religious emblem recorded in the Great Library, twisted lines forming a pentagram. The killer arranged the murders to form this very symbol across the map.			204
4204	2	2	Pocket Candy	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5CluePhoto.png	404	This clue not collected	Candy Wanshi gave the children, in flavors such as cream, chocolate, and cinnamon apple.	Candy Wanshi gave the children, in flavors such as cream, chocolate, and cinnamon apple.			205
4205	2	2	Fresh Herbs	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5CluePhoto.png	404	This clue not collected	Fresh herbs gathered from the forest, effective only after proper preparation.	Fresh herbs gathered from the forest, effective only after proper preparation.			206
4300	1	1	Canary	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5CluePhoto02.png	407	This clue not collected	The only survivor Wanshi saved in the old castle, claiming to be from the Haruka tribe.	Her true identity is the Holy Maiden of the tribe, sworn to carry out their vengeance.	4300		300
4301	2	2	Tribal Insignia	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5CluePhoto.png	407	This clue not collected	Special emblems painted on the tribespeople, matching the pentagrams on the goat carvings.	Special emblems painted on the tribespeople, matching the pentagrams on the goat carvings.			306
4302	2	2	Dagger Beneath the Tree	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5CluePhoto.png	407	This clue not collected	A bone-blade dagger found beneath a dried corpse, handmade by the tribespeople.	A bone-blade dagger found beneath a dried corpse, handmade by the tribespeople.			303
4303	2	2	Herbal Aroma	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5CluePhoto.png	407	This clue not collected	A lingering herbal scent in the forest, also detected in the old castle.	A lingering herbal scent in the forest, also detected in the old castle.			304
4304	2	2	Tribal Past	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5CluePhoto.png	407	This clue not collected	The tribespeople were massacred by settlers a thousand years ago, and the hatred endures to this day.	The tribespeople were massacred by settlers a thousand years ago, and the hatred endures to this day.			301
4305	2	2	Legend of the Giant	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5CluePhoto.png	407	This clue not collected	The tribespeople worship Holy Death, believing that live sacrifice can summon a pale giant to destroy their enemies.	The tribespeople worship Holy Death, believing that live sacrifice can summon a pale giant to destroy their enemies.			302
5100	1	1	Lilith	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5CluePhoto02.png	102	This clue not collected	A mysterious woman who travels as your companion. You cannot recall how you first met her.	The Famine Knight, bound to you by Blood Covenant, wields the power to ignite anything her umbrella tip touches. She joins you in striking the Sanctuary, bent on vengeance against Madam Raphael.	5100	RG01201BA	100
5101	2	2	Sanctuary Game	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5CluePhoto.png	102	This clue not collected	The Sanctuary's card table is bound by alchemical matrices to ensure fairness. Few mortals dare to challenge angels by taking a seat at it.	The Sanctuary's card table is bound by alchemical matrices to ensure fairness. Few mortals dare to challenge angels by taking a seat at it.			102
5102	2	2	Lilith's Confession	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5CluePhoto.png	102	This clue not collected	Lilith claims she was silenced after exposing an archangel's cheating at the tables, but there are hints her story conceals more than she lets on.	Lilith claims she was silenced after exposing an archangel's cheating at the tables, but there are hints her story conceals more than she lets on.			101
5103	2	2	Mammon's Treasure	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5CluePhoto.png	102	This clue not collected	Legend says that Mammon's hoard lies sealed within a purgatory stronghold called the City of No Return, its vault door opened only by Mammon's Key.	Legend says that Mammon's hoard lies sealed within a purgatory stronghold called the City of No Return, its vault door opened only by Mammon's Key.			103
5104	2	2	Counterfeit Wager	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5CluePhoto.png	102	This clue not collected	To dodge losses, some gamblers slip in fakes in place of real stakes. Once exposed, the table erupted into a brawl—only this counterfeit token remains by the cards.	To dodge losses, some gamblers slip in fakes in place of real stakes. Once exposed, the table erupted into a brawl—only this counterfeit token remains by the cards.			104
5105	2	2	Legend of the Inferno	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5CluePhoto.png	102	This clue not collected	Rumor has it the devils' seat of power lies within the inferno, teeming with souls forever chasing after gold.	Rumor has it the devils' seat of power lies within the inferno, teeming with souls forever chasing after gold.			105
5200	1	1	Madam Raphael	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5CluePhoto02.png	504	This clue not collected	One of the four archangels, host of the Sanctuary Game in the mortal realm—and the very target of Lilith's revenge.	One of the four archangels, commanded by the Supreme Heaven to hunt for clues to Mammon's treasure and the City of No Return. After becoming enemies with Lilith, she turned her fury on us in a string of assaults, driven by some goal she has yet to reveal.	5200		200
5201	2	2	Plundered Town	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5CluePhoto.png	504	This clue not collected	Lately, Madam Raphael's angels have been raiding towns with increasing frequency. Where once they came only to slaughter, now they scour the very earth itself, digging for coins fallen from the trains.	Lately, Madam Raphael's angels have been raiding towns with increasing frequency. Where once they came only to slaughter, now they scour the very earth itself, digging for coins fallen from the trains.			202
5202	2	2	Unowned Mammon Vault	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5CluePhoto.png	504	This clue not collected	Since the last Mammon vanished, the throne of the City of No Return has stood empty. Whoever claims the title will inherit the immeasurable wealth sealed within its vault.	Since the last Mammon vanished, the throne of the City of No Return has stood empty. Whoever claims the title will inherit the immeasurable wealth sealed within its vault.			206
5203	2	2	Intermittent Ambush	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5CluePhoto.png	504	This clue not collected	Between their plundering of towns, the angels have begun targeting me and Lilith as well—clearly after more than just gold.	Between their plundering of towns, the angels have begun targeting me and Lilith as well—clearly after more than just gold.			201
5204	2	2	Resident Militia	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5CluePhoto.png	504	This clue not collected	To defend themselves, the people of Whitehorse formed a militia, convinced it would shield their wealth from the angels sent to "reclaim" fallen coins.	To defend themselves, the people of Whitehorse formed a militia, convinced it would shield their wealth from the angels sent to "reclaim" fallen coins.			204
5205	2	2	Gambler in the Bar	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5CluePhoto.png	504	This clue not collected	After the angels stripped the town of its lives and wealth, the gamblers only multiplied. Some, short on funds, have joined the hunt for coins spilled from passing trains, hoping to make a fortune.	After the angels stripped the town of its lives and wealth, the gamblers only multiplied. Some, short on funds, have joined the hunt for coins spilled from passing trains, hoping to make a fortune.			205
5300	1	1	Infinite Illusion Realm	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5CluePhoto02.png	513	This clue not collected	A mirage within Mammon's treasure vault, capable of ensnaring all who enter.	The Infinite Illusion Realm grants fulfillment of every desire—even the former Mammon could not resist its lure. Only by relinquishing all the wealth gained inside can one escape through the exit at the golden mountain's peak.	5300	RG01205EA	300
5301	2	2	The Trapped Ones' Consciousness	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5CluePhoto.png	513	This clue not collected	All soul-bearing beings within the illusion are humans or demons caught here. Though every desire can be fulfilled, over time they gradually lose their sense of self.	All soul-bearing beings within the illusion are humans or demons caught here. Though every desire can be fulfilled, over time they gradually lose their sense of self.			305
5302	2	2	Peculiar Paper Crane	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5CluePhoto.png	513	This clue not collected	A beautiful white paper crane. According to a ghost within the illusion, following its path forward will eventually lead you to the answer.	A beautiful white paper crane. According to a ghost within the illusion, following its path forward will eventually lead you to the answer.			301
5303	2	2	Former Mammon	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5CluePhoto.png	513	This clue not collected	The former Golden King, content with the illusion's gifts. Though he knows the way out, he chooses to remain here nonetheless.	The former Golden King, content with the illusion's gifts. Though he knows the way out, he chooses to remain here nonetheless.			302
5304	2	2	Mortal Creation	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5CluePhoto.png	513	This clue not collected	Those within the illusion can freely conjure almost anything to satisfy their desires, except for living beings.	Those within the illusion can freely conjure almost anything to satisfy their desires, except for living beings.			306
5305	2	2	Conditions for Entering the Illusion	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5CluePhoto.png	513	This clue not collected	Anyone who leaves the illusion by their own will can never return, by any means. Not even the current Mammon can force them back inside.	Anyone who leaves the illusion by their own will can never return, by any means. Not even the current Mammon can force them back inside.			304
5306	2	2	Spiral Graveyard	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5CluePhoto.png	513	This clue not collected	A cluster of structures built by nameless ghosts within the illusion. Their creator became lost in the rapture of fulfilled desires long ago.	A cluster of structures built by nameless ghosts within the illusion. Their creator became lost in the rapture of fulfilled desires long ago.			303
6100	1	1	Battle Plan	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5CluePhoto02.png	601	This clue not collected	A decisive clash with the Sanctuary demands a carefully crafted strategy.	Gray Raven and the Four Horsemen form an elite strike force, riding the Hell Train to storm the Sanctuary and slay Gabriel with Halo Bullets.	6100		200
6101	2	2	Four Horsemen	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5CluePhoto.png	601	This clue not collected	The four bound to Gray Raven by a Blood Covenant wield formidable powers and stand as our mightiest force in battle.	The four bound to Gray Raven by a Blood Covenant wield formidable powers and stand as our mightiest force in battle.			203
6102	2	2	The Hell Train	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5CluePhoto.png	601	This clue not collected	The Death Knight's train boasts extraordinary mobility, able to traverse nearly any route without constraint.	The Death Knight's train boasts extraordinary mobility, able to traverse nearly any route without constraint.			204
6103	2	2	Halo Cannon	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5CluePhoto.png	601	This clue not collected	The Iron Army's ultimate weapon under the War Knight, unleashing Halo Bullets that can deal fatal damage to angels.	The Iron Army's ultimate weapon under the War Knight, unleashing Halo Bullets that can deal fatal damage to angels.			205
6104	2	2	Human Resistance	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5CluePhoto.png	601	This clue not collected	The frontier folk have risen on their own, forming resistance forces and striking back against the angels across the land.	The frontier folk have risen on their own, forming resistance forces and striking back against the angels across the land.			202
6105	2	2	Cardinal Deity's Remains	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5CluePhoto.png	601	This clue not collected	When the Pestilence Knight briefly connected with the Cardinal Deity, he sensed its remains still lingering in the Sanctuary, brimming with immense energy.	When the Pestilence Knight briefly connected with the Cardinal Deity, he sensed its remains still lingering in the Sanctuary, brimming with immense energy.			206
6106	2	2	Current Status of the Scorched Borderland	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5CluePhoto.png	601	This clue not collected	The people exhaust what little strength remains as the angels' lines slowly recede—this charred land now stands ready to welcome the night.	The people exhaust what little strength remains as the angels' lines slowly recede—this charred land now stands ready to welcome the night.			201
7100	1	1	Nirvatia's Guidance	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5CluePhoto02.png	700	This clue not collected	Nirvatia sent my mind into a strange world. I still don't know why.	Nirvatia is showing me a world built from her memories. It seems she wants me to understand who she used to be.	7100	RG01401BA	100
7101	2	2	Illusion-Weaving World	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5CluePhoto.png	700	This clue not collected	In the illusion Nirvatia created, I saw many relics from the First Era. It seems she's showing me what the Scorched Borderland used to be.	In the illusion Nirvatia created, I saw many relics from the First Era. It seems she's showing me what the Scorched Borderland used to be.			103
7102	2	2	The Path She Walked	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5CluePhoto.png	700	This clue not collected	The more I explore, the more I realize this world is not real. Everything I see is built from Nirvatia's memories.	The more I explore, the more I realize this world is not real. Everything I see is built from Nirvatia's memories.			104
7103	2	2	Invisible Boundary	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5CluePhoto.png	700	This clue not collected	Only the area around the event seems clear. Try to leave, and you're snapped right back to the center in the blink of an eye.	Only the area around the event seems clear. Try to leave, and you're snapped right back to the center in the blink of an eye.			105
7104	2	2	No-Dream Syndrome	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5CluePhoto.png	700	This clue not collected	Demons can't dream. In the Scorched Borderland, people use dreamcatchers to identify them, but a rare few are born with No-Dream Syndrome.	Demons can't dream. In the Scorched Borderland, people use dreamcatchers to identify them, but a rare few are born with No-Dream Syndrome.			101
